Hour,Minute
6,22
6,29
4,5 
8,29
5,53
8,7 
10,49
7,27
10,53
7,33
6,32
8,13
5,35
8,37
7,14
5,39
7,1 
7,27
5,3 
10,33
8,2 
5,48
6,39
9,2 
7,9 
5,54
10,46
10,5
6,2 
8,26
4,28
9,20
8,20
5,25
4,49
5,7 
9,1 
7,34
4,34
9,32
7,51
8,54
9,59
9,54
8,27
7,35
7,45
7,39
8,4 
6,49
7,56
9,38
9,54
4,21
4,30
6,45
7,40
4,54
5,27
5,44
8,51
10,13
9,36
6,27
7,8 
9,46
8,44
5,53
10,36
10,43
10,34
10,51
7,19
9,44
4,19
10,15
5,42
4,4 
9,58
9,58
6,46
7,27
4,43
6,10
7,42
9,52
10,33
5,26
7,59
6,34
6,4 
6,3 
10,4
6,44
10,20
8,10
9,1 
9,0 
5,43
5,15
8,52
5,57
5,20
7,21
7,25
9,0 
6,15
8,43
7,54
7,0 
10,50
8,0 
10,5
5,30
7,36
4,21
6,21
10,20
9,5 
10,4
7,38
4,22
5,35
8,56
9,11
4,40
6,24
8,34
8,9 
9,58
8,42
10,24
7,53
7,56
4,1 
4,34
4,14
5,59
6,45
5,25
10,52
6,42
5,36
4,58
5,6 
5,4 
5,33
8,38
4,13
6,2 
6,30
6,56
6,27
4,4 
5,11
8,13
10,2
9,56
9,2 
6,25
7,2 
4,24
6,55
6,1 
5,22
10,27
5,47
7,29
8,32
10,39
10,41
6,54
10,53
7,53
10,10
5,39
6,0 
9,2 
6,49
8,46
4,11
10,9
8,27
9,37
6,37
7,8 
5,49
9,54
6,6 
4,5 
8,56
10,9
4,31
4,26
9,58
5,36
6,25
10,11
7,24
9,23
10,32
6,28
5,11
5,22
7,25
4,22
9,48
9,3 
5,18
10,15
7,31
7,53
6,14
6,41
7,37
8,49
9,32
7,28
8,17
6,40
10,21
10,30
9,2 
4,53
9,53
4,8 
4,6 
9,5 
5,22
5,32
8,22
9,15
10,2
9,45
8,30
7,52
10,12
10,47
8,3 
4,25
9,4 
4,5 
10,25
4,52
8,17
6,59
10,36
10,12
7,56
6,10
10,23
10,1
8,34
8,52
5,7 
4,13
8,14
8,36
10,53
10,23
10,37
6,59
5,53
4,2 
9,38
6,8 
8,20
9,50
9,17
9,48
9,27
10,59
7,48
6,46
5,34
9,29
9,50
10,16
6,3 
9,42
4,28
7,40
9,2 
5,52
8,45
5,58
10,4
9,37
7,9 
10,54
4,56
6,57
7,48
10,7
10,9
10,26
7,14
7,28
8,11
8,31
6,16
4,55
8,19
10,37
9,27
4,16
7,17
10,2
6,15
10,54
6,55
8,42
10,19
4,25
8,46
10,12
4,53
